date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2026-07-10,13.928,,0,,"GDELT full-day conflict share, 112712 events across 96 files (2026-07-09)",2026-07-09,warming-up
2026-07-11,13.928,,0,,"GDELT full-day conflict share, 112712 events across 96 files (2026-07-09) [stale: observation already recorded]",2026-07-09,stale
2026-07-12,14.77,,0,,"GDELT full-day conflict share, 105258 events across 96 files (2026-07-10)",2026-07-10,warming-up
2026-07-13,14.687,,0,,"GDELT full-day conflict share, 68966 events across 96 files (2026-07-11)",2026-07-11,warming-up
2026-07-14,15.452,,0,,"GDELT full-day conflict share, 59188 events across 96 files (2026-07-12)",2026-07-12,warming-up
2026-07-15,14.649,,0,,"GDELT full-day conflict share, 104176 events across 96 files (2026-07-13)",2026-07-13,warming-up
2026-07-16,14.67,,0,,"GDELT full-day conflict share, 113515 events across 96 files (2026-07-14)",2026-07-14,warming-up
2026-07-17,14.316,,0,,"GDELT full-day conflict share, 114246 events across 96 files (2026-07-15)",2026-07-15,warming-up
2026-07-18,13.848,,0,,"GDELT full-day conflict share, 113051 events across 96 files (2026-07-16)",2026-07-16,warming-up
2026-07-19,14.01,,0,,"GDELT full-day conflict share, 103847 events across 96 files (2026-07-17)",2026-07-17,warming-up
2026-07-20,15.919,,0,,"GDELT full-day conflict share, 63994 events across 96 files (2026-07-18)",2026-07-18,warming-up
2026-07-21,15.85,1.617,0,up,"GDELT full-day conflict share, 55356 events across 96 files (2026-07-19)",2026-07-19,scoring
2026-07-22,15.244,0.587,0,up,"GDELT full-day conflict share, 94685 events across 96 files (2026-07-20)",2026-07-20,scoring
2026-07-23,14.142,-0.671,0,down,"GDELT full-day conflict share, 111896 events across 96 files (2026-07-21)",2026-07-21,scoring
2026-07-24,13.983,-0.861,0,down,"GDELT full-day conflict share, 120425 events across 96 files (2026-07-22)",2026-07-22,scoring
2026-07-25,14.114,-0.668,0,down,"GDELT full-day conflict share, 114552 events across 96 files (2026-07-23)",2026-07-23,scoring
2026-07-26,15.016,0.542,0,up,"GDELT full-day conflict share, 113191 events across 96 files (2026-07-24)",2026-07-24,scoring
2026-07-27,15.622,1.382,0,up,"GDELT full-day conflict share, 70229 events across 96 files (2026-07-25)",2026-07-25,scoring
2026-07-28,15.865,1.644,0,up,"GDELT full-day conflict share, 60296 events across 96 files (2026-07-26)",2026-07-26,scoring
2026-07-29,14.371,-0.406,0,down,"GDELT full-day conflict share, 98966 events across 96 files (2026-07-27)",2026-07-27,scoring
2026-07-30,13.544,-1.537,0,down,"GDELT full-day conflict share, 114737 events across 96 files (2026-07-28) [sampled 23:02:01Z]",2026-07-28,scoring
2026-07-31,14.654,-0.007,0,down,"GDELT full-day conflict share, 112429 events across 96 files (2026-07-29) [sampled 23:12:37Z]",2026-07-29,scoring
2026-08-01,15.87,1.591,0,up,"GDELT full-day conflict share, 113149 events across 96 files (2026-07-30) [sampled 23:06:51Z]",2026-07-30,scoring
2026-08-02,14.413,-0.329,0,down,"GDELT full-day conflict share, 107367 events across 96 files (2026-07-31) [sampled 22:58:41Z]",2026-07-31,scoring
2026-08-03,15.428,1.024,0,up,"GDELT full-day conflict share, 68900 events across 96 files (2026-08-01) [sampled 22:59:48Z]",2026-08-01,scoring
2026-08-04,14.352,-0.405,0,down,"GDELT full-day conflict share, 91182 events across 96 files (2026-08-03) [sampled 00:53:38Z]",2026-08-03,scoring
2026-08-05,14.352,,0,,"GDELT full-day conflict share, 91182 events across 96 files (2026-08-03) [sampled 23:07:26Z] [stale: observation already recorded]",2026-08-03,stale
