date,raw_value,z_score,trembling,direction,source_note,obs_date,status
2026-07-10,-1.819,,0,,"GDELT full-day average tone, 112712 events (2026-07-09)",2026-07-09,warming-up
2026-07-11,-1.819,,0,,"GDELT full-day average tone, 112712 events (2026-07-09) [stale: observation already recorded]",2026-07-09,stale
2026-07-12,-1.878,,0,,"GDELT full-day average tone, 105258 events (2026-07-10)",2026-07-10,warming-up
2026-07-13,-1.816,,0,,"GDELT full-day average tone, 68966 events (2026-07-11)",2026-07-11,warming-up
2026-07-14,-2.041,,0,,"GDELT full-day average tone, 59188 events (2026-07-12)",2026-07-12,warming-up
2026-07-15,-1.891,,0,,"GDELT full-day average tone, 104176 events (2026-07-13)",2026-07-13,warming-up
2026-07-16,-1.977,,0,,"GDELT full-day average tone, 113515 events (2026-07-14)",2026-07-14,warming-up
2026-07-17,-1.876,,0,,"GDELT full-day average tone, 114246 events (2026-07-15)",2026-07-15,warming-up
2026-07-18,-1.793,,0,,"GDELT full-day average tone, 113051 events (2026-07-16)",2026-07-16,warming-up
2026-07-19,-1.902,,0,,"GDELT full-day average tone, 103847 events (2026-07-17)",2026-07-17,warming-up
2026-07-20,-2.222,,0,,"GDELT full-day average tone, 63994 events (2026-07-18)",2026-07-18,warming-up
2026-07-21,-2.323,-4.414,1,down,"GDELT full-day average tone, 55356 events (2026-07-19)",2026-07-19,scoring
2026-07-22,-2.114,-2.005,0,down,"GDELT full-day average tone, 94685 events (2026-07-20)",2026-07-20,scoring
