date,component,value
2026-09-08,AE,0.9992
2026-09-08,AF,0.9911
2026-09-08,AL,1
2026-09-08,AM,0.9993
2026-09-08,AO,0.9994
2026-09-08,AR,0.9933
2026-09-08,AT,1.0002
2026-09-08,AU,0.999
2026-09-08,AZ,1.0325
2026-09-08,BA,0.9977
2026-09-08,BD,0.9989
2026-09-08,BE,1.0011
2026-09-08,BF,1.001
2026-09-08,BG,1.0004
2026-09-08,BH,1
2026-09-08,BJ,1
2026-09-08,BN,1
2026-09-08,BO,0.9946
2026-09-08,BR,1.0006
2026-09-08,BS,1
2026-09-08,BW,0.9999
2026-09-08,BY,0.9999
2026-09-08,CA,0.9995
2026-09-08,CG,1
2026-09-08,CH,1
2026-09-08,CI,1.0031
2026-09-08,CL,1.0172
2026-09-08,CM,1.8201
2026-09-08,CN,0.9999
2026-09-08,CO,0.9982
2026-09-08,CR,0.9998
2026-09-08,CU,1
2026-09-08,CW,1
2026-09-08,CY,1.0009
2026-09-08,CZ,0.9997
2026-09-08,DE,0.9998
2026-09-08,DK,1.0003
2026-09-08,DO,0.9999
2026-09-08,DZ,1
2026-09-08,EC,1
2026-09-08,EE,0.9997
2026-09-08,EG,1
2026-09-08,ES,1.0017
2026-09-08,ET,1
2026-09-08,FI,0.998
2026-09-08,FJ,1
2026-09-08,FR,1
2026-09-08,GA,0.9997
2026-09-08,GB,0.9995
2026-09-08,GE,0.9958
2026-09-08,GH,0.999
2026-09-08,GM,0.9852
2026-09-08,GP,1
2026-09-08,GR,0.9972
2026-09-08,GT,1
2026-09-08,GU,0.999
2026-09-08,HK,1.0072
2026-09-08,HN,0.9947
2026-09-08,HR,0.9999
2026-09-08,HT,1
2026-09-08,HU,0.9991
2026-09-08,ID,0.9987
2026-09-08,IE,1.0001
2026-09-08,IL,1.0033
2026-09-08,IN,0.9968
2026-09-08,IQ,0.9156
2026-09-08,IR,0.9925
2026-09-08,IS,0.999
2026-09-08,IT,0.9957
2026-09-08,JM,0.9992
2026-09-08,JO,1.0012
2026-09-08,JP,1.0001
2026-09-08,KE,0.9998
2026-09-08,KG,0.9991
2026-09-08,KH,0.9995
2026-09-08,KR,1.0004
2026-09-08,KW,0.9993
2026-09-08,KZ,1.0062
2026-09-08,LB,0.9988
2026-09-08,LK,1.0007
2026-09-08,LS,1
2026-09-08,LT,0.9998
2026-09-08,LU,0.9998
2026-09-08,LV,0.999
2026-09-08,LY,1
2026-09-08,MA,1
2026-09-08,MD,1.0072
2026-09-08,ME,1
2026-09-08,MG,0.9996
2026-09-08,MK,0.9995
2026-09-08,MM,1.0011
2026-09-08,MN,0.9986
2026-09-08,MO,0.9993
2026-09-08,MQ,1
2026-09-08,MT,1
2026-09-08,MU,0.9997
2026-09-08,MW,1
2026-09-08,MX,1.0004
2026-09-08,MY,1.001
2026-09-08,MZ,0.9979
2026-09-08,NA,0.9996
2026-09-08,NC,1
2026-09-08,NG,0.9814
2026-09-08,NI,1.0007
2026-09-08,NL,1.002
2026-09-08,NO,1
2026-09-08,NP,1.0041
2026-09-08,NZ,0.9961
2026-09-08,OM,1
2026-09-08,PA,1.0001
2026-09-08,PE,0.9984
2026-09-08,PH,0.9816
2026-09-08,PK,0.9997
2026-09-08,PL,1
2026-09-08,PR,0.9996
2026-09-08,PS,1.0019
2026-09-08,PT,0.9999
2026-09-08,PY,0.9995
2026-09-08,QA,1
2026-09-08,RE,1
2026-09-08,RO,0.9996
2026-09-08,RS,0.9998
2026-09-08,RU,0.9996
2026-09-08,RW,1
2026-09-08,SA,1.0004
2026-09-08,SC,1
2026-09-08,SD,0.9987
2026-09-08,SE,1
2026-09-08,SG,1.0023
2026-09-08,SI,1
2026-09-08,SK,1.0001
2026-09-08,SN,0.9945
2026-09-08,SV,1
2026-09-08,SY,0.9857
2026-09-08,TG,1
2026-09-08,TH,0.9999
2026-09-08,TN,1
2026-09-08,TR,0.9994
2026-09-08,TT,0.9991
2026-09-08,TW,1
2026-09-08,TZ,0.9999
2026-09-08,UA,0.9969
2026-09-08,UG,0.9999
2026-09-08,US,1.0025
2026-09-08,UY,1.0001
2026-09-08,UZ,1
2026-09-08,VE,0.9859
2026-09-08,VI,1
2026-09-08,VN,0.9998
2026-09-08,YE,0.9951
2026-09-08,ZA,1.0002
2026-09-08,ZM,1
2026-09-08,ZW,0.9999
2026-09-09,AE,0.9992
2026-09-09,AF,0.9963
2026-09-09,AL,0.9948
2026-09-09,AM,0.9982
