date,component,value
2026-08-03,mean_daily_withdrawal_musd,152595.35
2026-08-03,tga_balance_musd,870083
2026-08-04,mean_daily_withdrawal_musd,152479.45
2026-08-04,tga_balance_musd,924219
2026-08-05,mean_daily_withdrawal_musd,150591.45
2026-08-05,tga_balance_musd,929325
2026-08-06,mean_daily_withdrawal_musd,149463.9
2026-08-06,tga_balance_musd,961726
2026-08-07,mean_daily_withdrawal_musd,149515.65
2026-08-07,tga_balance_musd,954113
2026-08-10,mean_daily_withdrawal_musd,149426.35
2026-08-10,tga_balance_musd,966851
2026-08-11,mean_daily_withdrawal_musd,150106.05
2026-08-11,tga_balance_musd,997330
2026-08-12,mean_daily_withdrawal_musd,145059.5
2026-08-12,tga_balance_musd,959405
2026-08-13,mean_daily_withdrawal_musd,145556.6
2026-08-13,tga_balance_musd,966587
2026-08-14,mean_daily_withdrawal_musd,145807.15
2026-08-14,tga_balance_musd,959184
2026-08-17,mean_daily_withdrawal_musd,156383.95
2026-08-17,tga_balance_musd,932785
2026-08-18,mean_daily_withdrawal_musd,157511.45
2026-08-18,tga_balance_musd,961952
2026-08-19,mean_daily_withdrawal_musd,157040.55
2026-08-19,tga_balance_musd,936406
2026-08-20,mean_daily_withdrawal_musd,158547.85
2026-08-20,tga_balance_musd,935077
2026-08-21,mean_daily_withdrawal_musd,158531.8
2026-08-21,tga_balance_musd,933218
2026-08-24,mean_daily_withdrawal_musd,158503.8
2026-08-24,tga_balance_musd,966849
2026-08-25,mean_daily_withdrawal_musd,160532.6
2026-08-25,tga_balance_musd,994137
2026-08-26,mean_daily_withdrawal_musd,162274.35
2026-08-26,tga_balance_musd,959435
